budget,genres,homepage,id,keywords,overview,production_companies,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,year,Drama,Comedy,Action,Adventure,Horror,Crime,Thriller,Animation,Fantasy,Romance,Science Fiction,Documentary,Family,Mystery,Music,Western,History,War,TV Movie,Foreign,year_int,buying_power,revenue_adj,budget_adj,primary_genre
14000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""18"": ""Drama"", ""10751"": ""Family""}",,12227,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1321, ""name"": ""gold""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 1909, ""name"": ""coffin""}, {""id"": 2526, ""name"": ""human animal relationship""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 98""80"", ""name"": ""alaska""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 162726, ""name"": ""prospector""}, {""id"": 1""80""""80""8, ""name"": ""klondike""}, {""id"": 189390, ""name"": ""yukon""}, {""id"": 189391, ""name"": ""boy dog relationship""}, {""id"": 189392, ""name"": ""gold miner""}]",Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Silver Screen Partners IV"", ""id"": 10282}, {""name"": ""Hybrid Productions Inc."", ""id"": 12608}]",1/18/91,34793160,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Where civilization ends, their journey begins.",White Fang,6.5,135,1991,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,1.042081102,36257294.51,14589135.43, Action
0,"{""28"": ""Action"", ""80"": ""Crime"", ""53"": ""Thriller""}",,21338,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 1812, ""name"": ""fbi""}, {""id"": 6951, ""name"": ""biker""}, {""id"": ""80""15, ""name"": ""cop""}, {""id"": 14736, ""name"": ""motorcycle gang""}]","Joe Huff (Brian Bosworth) is a tough, loner cop with a flair for infiltrating dangerous biker gangs. The FBI blackmail Joe into an undercover operation that entails infiltrating ""The Brotherhood"" - a powerful Mississippi biker gang linked in the murder of government officials as well as dealing drugs with the mafia.","[{""name"": ""Stone Group Pictures"", ""id"": 3470}, {""name"": ""Vision International"", ""id"": 3603}]",5/17/91,0,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A cop who enforces his own brand of justice.,Stone Cold,5.7,34,1991,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1.042081102,0,0, Action
40000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""18"": ""Drama"", ""36"": ""History"", ""10749"": ""Romance"", ""10752"": ""War""}",,9361,"[{""id"": 7879, ""name"": ""secret love""}, {""id"": 8519, ""name"": ""mohawk""}, {""id"": 10322, ""name"": ""native american""}, {""id"": 160279, ""name"": ""18th century""}, {""id"": 208123, ""name"": ""french and indian war""}]","As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.","[{""name"": ""Morgan Creek Productions"", ""id"": 10210}]",9/25/92,75505856,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The first American hero.,The Last of the Mohicans,7.1,732,1992,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1992,1.07345065,81051810.2,42938026, Action
220000,"{""28"": ""Action"", ""80"": ""Crime"", ""53"": ""Thriller""}",,9367,"[{""id"": 5616, ""name"": ""united states\u2013mexico barrier""}, {""id"": 33649, ""name"": ""legs""}, {""id"": 162740, ""name"": ""arms""}, {""id"": 187891, ""name"": ""paper knife""}, {""id"": 206558, ""name"": ""guitar case""}]","El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor...a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake El Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.","[{""name"": ""Columbia Pictures"", ""id"": 5}]",9/4/92,2040920,81,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]","He didn't come looking for trouble, but trouble came looking for him.",El Mariachi,6.6,238,1992,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,1.07345065,2190826.901,236159.143, Action
80000000,"{""28"": ""Action"", ""14"": ""Fantasy""}",,364,"[{""id"": 65, ""name"": ""holiday""}, {""id"": 417, ""name"": ""corruption""}, {""id"": 848, ""name"": ""double life""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 3298, ""name"": ""hallucination""}, {""id"": 5570, ""name"": ""christmas tree""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 15002, ""name"": ""dark hero""}, {""id"": 15481, ""name"": ""fictional city""}, {""id"": 163074, ""name"": ""super villain""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 173861, ""name"": ""deformed""}, {""id"": 173866, ""name"": ""bird cage""}, {""id"": 173867, ""name"": ""evil circus""}, {""id"": 214644, ""name"": ""christmas holiday""}]","Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.","[{""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Warner Bros."", ""id"": 6194}]",6/19/92,280000000,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","The Bat, the Cat, the Penguin.",Batman Returns,6.6,1673,1992,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1992,1.07345065,300566182,85876052, Action
8000000,"{""28"": ""Action"", ""53"": ""Thriller"", ""878"": ""Science Fiction""}",,12088,"[{""id"": 378, ""name"": ""prison""}, {""id"": 679, ""name"": ""cyborg""}, {""id"": 2587, ""name"": ""married couple""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 208085, ""name"": ""population control""}]",A futuristic prison movie. Protagonist and wife are nabbed at a future US emigration point with an illegal baby during population control. The resulting prison experience is the subject of the movie. The prison is a futuristic one run by a private corporation bent on mind control in various ways,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Fortress Films"", ""id"": 19047}]",9/30/92,6739141,95,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The high-tech prison thirty stories below ground. Built to withstand anything... Execpt an innocent man.,Fortress,5.7,168,1992,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1992,1.07345065,7234135.287,8587605.2, Action
11500000,"{""28"": ""Action"", ""80"": ""Crime"", ""18"": ""Drama"", ""53"": ""Thriller""}",,2088,"[{""id"": 4668, ""name"": ""police operation""}, {""id"": 5906, ""name"": ""sex addiction""}, {""id"": 6149, ""name"": ""police""}, {""id"": 6220, ""name"": ""mafia boss""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10978, ""name"": ""bad cop""}, {""id"": 12366, ""name"": ""hitwoman""}]",A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,"[{""name"": ""Working Title Films"", ""id"": 10163}, {""name"": ""Polygram Filmed Entertainment"", ""id"": 31080}, {""name"": ""Hilary Henkin"", ""id"": 36907}]",9/13/93,3275585,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The story of a cop who wanted it bad and got it worse.,Romeo Is Bleeding,5.7,36,1993,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,3621438.658,12714231.07, Action
70000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""53"": ""Thriller""}",,9350,"[{""id"": 2805, ""name"": ""rocky mountains""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4245, ""name"": ""hijacking""}, {""id"": 4702, ""name"": ""suitcase""}, {""id"": 8624, ""name"": ""climbing""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 10594, ""name"": ""money""}, {""id"": 10794, ""name"": ""snow""}, {""id"": 159212, ""name"": ""mountain climbing""}, {""id"": 2290""53"", ""name"": ""mountain""}]","A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""RCS Video"", ""id"": 23246}, {""name"": ""Cliffhanger Productions"", ""id"": 45728}, {""name"": ""Pioneer"", ""id"": 45729}]",5/28/93,255000211,112,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The height of adventure.,Cliffhanger,6.1,588,1993,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,281924487.3,77390971.7, Action
32000000,"{""28"": ""Action"", ""12"": ""Adventure"", ""18"": ""Drama"", ""53"": ""Thriller""}",,7305,"[{""id"": 7912, ""name"": ""rugby""}, {""id"": 9743, ""name"": ""stranded""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 11116, ""name"": ""plane wreck""}, {""id"": 12617, ""name"": ""airplane crash""}, {""id"": 155372, ""name"": ""freezing""}, {""id"": 199076, ""name"": ""disaster movie""}]","The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.","[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",1/15/93,36733909,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",They survived the impossible...by doing the unthinkable.,Alive,6.7,374,1993,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,40612470.17,35378729.92, Action
35000000,"{""28"": ""Action"", ""80"": ""Crime"", ""18"": ""Drama"", ""53"": ""Thriller""}",,9702,"[{""id"": 2400, ""name"": ""juvenile prison""}, {""id"": 2679, ""name"": ""artist""}, {""id"": 9890, ""name"": ""jail""}, {""id"": 10211, ""name"": ""east l.a.""}, {""id"": 10700, ""name"": ""hood""}, {""id"": 10726, ""name"": ""gang""}, {""id"": 10766, ""name"": ""youth gang""}, {""id"": 12425, ""name"": ""racism""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 1642""53"", ""name"": ""mexican american""}, {""id"": 183637, ""name"": ""barrio""}, {""id"": 193309, ""name"": ""police shootout""}, {""id"": 206318, ""name"": ""cholo""}, {""id"": 206319, ""name"": ""lowrider""}]","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.","[{""name"": ""Hollywood Pictures"", ""id"": 915}]",2/5/93,0,180,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,Bound by Honor,7.7,115,1993,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,0,38695485.85, Action
6000000,"{""28"": ""Action""}",,15797,[],"Former Green Beret Louis Stevens returns to his hometown of Miami after completing military service in Brazil, only to learn that his old high school has become a haven for gangs and drug dealers. After Stevens uses his capoeira skills to kick several drug dealers off of the school property, Kerrigan, one of Stevens' old teachers, sees the impact that Stevens has on the students. Kerrigan gives him the task of teaching Capoeira to a handful of the worst at-risk students at the school.","[{""name"": ""Davis Films"", ""id"": 14175}, {""name"": ""Freestone Pictures"", ""id"": 89388}]",8/27/93,3283371,99,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The ultimate martial art.,Only the Strong,6.9,29,1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,3630046.745,6633511.86, Action
3000000,"{""28"": ""Action""}",,24227,"[{""id"": 6149, ""name"": ""police""}, {""id"": 181508, ""name"": ""shoulder holster""}, {""id"": 193309, ""name"": ""police shootout""}, {""id"": 20""80""08, ""name"": ""shootout at a train station""}]","Chicago policeman Terry McCain is determined to put away mobster Sal DiMarco, who always gets acquitted on technicalities. While monitoring a drug sale, a shootout ensues, and one of Terry's fellow officers gets away with $3 million of Sal's money. Suspecting Terry took the cash, the mobster sends his men to kill Terry's brother, Dylan, and partner, Frankie Hawkins. Furious, Terry sets out to take his revenge by any means necessary.","[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ian Page Productions"", ""id"": 7708}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]",5/14/93,1200000,87,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",You have the right to remain silent... permanently.,Excessive Force,4.5,10,1993,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1.10558531,1326702.372,3316755.93, Action
